Timestamp	Setpoint	Temperature	Error	Sum	ProportionalFactor	IntegralFactor	DerivativeFactor	Control	LastCurrentMeasurement
5518325	2430	2537	107	60100	10700	6010	0	16710	16612
6518326	2430	2537	107	60100	10700	6010	0	16710	16618
7518327	2430	2537	107	60100	10700	6010	0	16710	16613
8518328	2430	2537	107	60100	10700	6010	0	16710	16616
9518330	2430	2537	107	60100	10700	6010	0	16710	16615
518331	2430	2537	107	60100	10700	6010	0	16710	16613
1518329	2430	2537	107	60100	10700	6010	0	16710	16611
2518328	2430	2537	107	60100	10700	6010	0	16710	16611
3518328	2430	2537	107	60100	10700	6010	0	16710	16612
4518328	2430	2537	107	60100	10700	6010	1000	17710	15520
5518334	2430	2536	106	60100	10600	6010	0	16610	16510
6518335	2430	2536	106	60100	10600	6010	0	16610	16515
7518336	2430	2536	106	60100	10600	6010	0	16610	16516
8518337	2430	2536	106	60100	10600	6010	0	16610	16516
9518339	2430	2536	106	60100	10600	6010	0	16610	16514
518340	2430	2536	106	60100	10600	6010	0	16610	16519
1518338	2430	2536	106	60100	10600	6010	0	16610	16513
2518337	2430	2536	106	60100	10600	6010	0	16610	16516
3518337	2430	2536	106	60100	10600	6010	0	16610	16515
4518337	2430	2536	106	60100	10600	6010	0	16610	16512
5518338	2430	2536	106	60100	10600	6010	0	16610	16511
6518339	2430	2536	106	60100	10600	6010	0	16610	16516
7518340	2430	2535	105	60100	10500	6010	0	16510	16415
8518341	2430	2535	105	60100	10500	6010	0	16510	16419
9518343	2430	2535	105	60100	10500	6010	0	16510	16417
518345	2430	2535	105	60100	10500	6010	0	16510	16416
1518342	2430	2535	105	60100	10500	6010	0	16510	16415
2518341	2430	2535	105	60100	10500	6010	0	16510	16416
3518341	2430	2535	105	60100	10500	6010	0	16510	16417
4518342	2430	2535	105	60100	10500	6010	0	16510	16415
5518343	2430	2535	105	60100	10500	6010	0	16510	16415
6518344	2430	2535	105	60100	10500	6010	0	16510	16414
7518345	2430	2535	105	60100	10500	6010	0	16510	17407
8518346	2430	2535	105	60100	10500	6010	1000	17510	15319
9518320	2430	2535	105	60100	10500	6010	1000	17510	15321
518326	2430	2534	104	60100	10400	6010	0	16410	16310
1518323	2430	2534	104	60100	10400	6010	0	16410	16316
2518323	2430	2534	104	60100	10400	6010	0	16410	16320
3518323	2430	2534	104	60100	10400	6010	0	16410	16315
4518323	2430	2534	104	60100	10400	6010	0	16410	16314
5518324	2430	2534	104	60100	10400	6010	0	16410	16316
6518325	2430	2534	104	60100	10400	6010	0	16410	16317
7518327	2430	2534	104	60100	10400	6010	0	16410	16316
8518328	2430	2534	104	60100	10400	6010	0	16410	16314
9518330	2430	2534	104	60100	10400	6010	0	16410	16316
518331	2430	2534	104	60100	10400	6010	0	16410	16320
1518329	2430	2534	104	60100	10400	6010	0	16410	16316
2518328	2430	2534	104	60100	10400	6010	0	16410	16315
3518328	2430	2533	103	60100	10300	6010	0	16310	16216
4518329	2430	2533	103	60100	10300	6010	0	16310	16213
5518329	2430	2533	103	60100	10300	6010	0	16310	16219
6518330	2430	2533	103	60100	10300	6010	0	16310	16215
7518332	2430	2533	103	60100	10300	6010	0	16310	16212
8518333	2430	2533	103	60100	10300	6010	0	16310	16215
9518335	2430	2533	103	60100	10300	6010	0	16310	16217
518337	2430	2533	103	60100	10300	6010	0	16310	16214
1518334	2430	2533	103	60100	10300	6010	0	16310	16218
2518333	2430	2533	103	60100	10300	6010	0	16310	16218
3518333	2430	2533	103	60100	10300	6010	0	16310	16216
4518334	2430	2533	103	60100	10300	6010	0	16310	16217
5518335	2430	2533	103	60100	10300	6010	1000	17310	15122
6518340	2430	2533	103	60100	10300	6010	0	16310	16219
7518341	2430	2532	102	60100	10200	6010	-1000	15210	16221
8518347	2430	2532	102	60100	10200	6010	0	16210	16116
9518317	2430	2532	102	60100	10200	6010	0	16210	16117
518318	2430	2532	102	60100	10200	6010	0	16210	16118
1518348	2430	2532	102	60100	10200	6010	0	16210	16117
2518347	2430	2532	102	60100	10200	6010	0	16210	16120
3518346	2430	2532	102	60100	10200	6010	0	16210	16119
4518347	2430	2532	102	60100	10200	6010	0	16210	16121
5518347	2430	2532	102	60100	10200	6010	0	16210	16120
6518348	2430	2532	102	60100	10200	6010	0	16210	16116
7518317	2430	2532	102	60100	10200	6010	0	16210	16115
8518318	2430	2532	102	60100	10200	6010	0	16210	16119
9518320	2430	2532	102	60100	10200	6010	0	16210	16114
518321	2430	2532	102	60100	10200	6010	0	16210	16114
1518318	2430	2532	102	60100	10200	6010	0	16210	16116
2518317	2430	2531	101	60100	10100	6010	-1000	15110	17110
3518322	2430	2531	101	60100	10100	6010	-1000	15110	16120
4518327	2430	2531	101	60100	10100	6010	0	16110	16016
5518327	2430	2531	101	60100	10100	6010	0	16110	16020
6518328	2430	2531	101	60100	10100	6010	0	16110	16018
7518329	2430	2531	101	60100	10100	6010	0	16110	16014
8518330	2430	2531	101	60100	10100	6010	0	16110	16017
9518332	2430	2531	101	60100	10100	6010	0	16110	16016
518333	2430	2531	101	60100	10100	6010	0	16110	16019
1518330	2430	2531	101	60100	10100	6010	0	16110	16015
2518329	2430	2531	101	60100	10100	6010	0	16110	16018
3518329	2430	2531	101	60100	10100	6010	0	16110	16016
4518329	2430	2531	101	60100	10100	6010	0	16110	16016
5518330	2430	2531	101	60100	10100	6010	0	16110	16017
6518330	2430	2531	101	60100	10100	6010	0	16110	16018
7518331	2430	2531	101	60100	10100	6010	0	16110	16013
8518332	2430	2531	101	60100	10100	6010	0	16110	16022
9518333	2430	2531	101	60100	10100	6010	0	16110	16016
518335	2430	2531	101	60100	10100	6010	1000	17110	15921
1518337	2430	2530	100	60100	10000	6010	0	16010	15916
2518335	2430	2530	100	60100	10000	6010	0	16010	15919
3518335	2430	2530	100	60100	10000	6010	0	16010	15915
4518335	2430	2530	100	60100	10000	6010	0	16010	15920
5518335	2430	2530	100	60100	10000	6010	0	16010	15919
6518336	2430	2530	100	60100	10000	6010	0	16010	15921
7518336	2430	2530	100	60100	10000	6010	0	16010	15917
8518337	2430	2530	100	60100	10000	6010	0	16010	15919
9518338	2430	2530	100	60100	10000	6010	0	16010	15921
518339	2430	2530	100	60100	10000	6010	0	16010	15919
1518336	2430	2530	100	60100	10000	6010	0	16010	15918
2518335	2430	2530	100	60100	10000	6010	0	16010	15921
3518335	2430	2530	100	60100	10000	6010	0	16010	15917
4518335	2430	2530	100	60100	10000	6010	0	16010	15918
5518335	2430	2530	100	60100	10000	6010	0	16010	15916
6518335	2430	2530	100	60100	10000	6010	0	16010	15913
7518336	2430	2529	99	60100	9900	6010	-1000	14910	15915
8518340	2430	2530	100	60100	10000	6010	1000	17010	15819
9518346	2430	2529	99	60100	9900	6010	0	15910	15818
518346	2430	2529	99	60100	9900	6010	0	15910	15817
1518341	2430	2529	99	60100	9900	6010	0	15910	15819
